pair,entry_time,exit_time,gross_ret,net_ret,capital_used,pnl_log_return,z_entry,z_exit,spread_move,stopped_out,z_revert_exit
ETHUSDT/BTCUSDT,2022-05-31,2022-06-07,0.0879176807060601,0.0859176807060601,10000.0,0.0859176807060601,1.2537822954292568,1.6680935619510588,965.8243767989658,False,False
ETHUSDT/BTCUSDT,2022-07-05,2022-07-12,-0.12675643960467342,-0.12875643960467342,10000.0,-0.12875643960467342,-1.249351138189883,-0.9516238485388683,77.63365525897007,False,False
ETHUSDT/BTCUSDT,2022-10-05,2022-10-12,0.09506233819080756,0.09306233819080756,10000.0,0.09306233819080756,1.2144465210733113,1.2300194108017894,592.1939183168902,False,False
ETHUSDT/BTCUSDT,2022-10-06,2022-10-13,0.07828121391762033,0.07628121391762033,10000.0,0.07628121391762033,1.508389435361291,1.0876424225402441,385.3637174019277,False,False
ETHUSDT/BTCUSDT,2023-01-06,2023-01-13,0.2929426153342365,0.2909426153342365,10000.0,0.2909426153342365,-2.382797708404002,1.4192673235072006,818.4866030993969,False,False
ETHUSDT/BTCUSDT,2023-01-13,2023-01-20,-0.263617009423878,-0.265617009423878,10000.0,-0.265617009423878,1.4192673235072006,1.1142564224436975,294.4458955688235,True,False
ETHUSDT/BTCUSDT,2023-01-14,2023-01-21,-0.12978675362336067,-0.13178675362336068,10000.0,-0.13178675362336068,1.5314790484958591,1.0846280541641478,199.85667263406845,False,False
ETHUSDT/BTCUSDT,2023-03-17,2023-03-24,0.020026422944846245,0.018026422944846243,10000.0,0.018026422944846243,2.1053400632577497,1.5367780424706956,221.77773256693195,False,False
ETHUSDT/BTCUSDT,2023-05-26,2023-06-02,-0.06286108230097431,-0.06486108230097432,10000.0,-0.06486108230097432,1.4028886012805073,-1.5015282124207723,911.5727247626477,False,False
ETHUSDT/BTCUSDT,2023-05-29,2023-06-05,-0.12143390851384439,-0.12343390851384439,10000.0,-0.12343390851384439,-2.083573101324588,0.07746440249564446,286.58500760645074,False,True
ETHUSDT/BTCUSDT,2023-06-21,2023-06-28,0.029561144419574803,0.0275611444195748,10000.0,0.0275611444195748,1.2969431297499983,1.006076343233466,390.94474636281063,False,False
ETHUSDT/BTCUSDT,2023-06-22,2023-06-29,-0.0077765383582436565,-0.009776538358243657,10000.0,-0.009776538358243657,1.5685681996093424,0.9327328762191477,161.56959183205697,False,False
ETHUSDT/BTCUSDT,2023-08-17,2023-08-20,-0.014318905934035397,-0.0163189059340354,10000.0,-0.0163189059340354,-1.2311531880402786,-0.22757364579657116,184.88909503181617,False,True
ETHUSDT/BTCUSDT,2023-09-11,2023-09-15,0.1116750378217024,0.1096750378217024,10000.0,0.1096750378217024,-2.1848013586222956,-0.12477710621881619,143.90716758529356,False,True
ETHUSDT/BTCUSDT,2023-12-26,2024-01-02,0.11003096959317205,0.10803096959317204,10000.0,0.10803096959317204,-1.4302053053656119,0.9155685391139944,753.5268060474837,False,False
ETHUSDT/BTCUSDT,2023-12-29,2024-01-05,-0.03384496678287152,-0.035844966782871523,10000.0,-0.035844966782871523,1.8595350927431729,1.526858770981277,282.1399370539341,False,False
ETHUSDT/BTCUSDT,2024-05-21,2024-05-28,-0.011047512222587264,-0.013047512222587264,10000.0,-0.013047512222587264,-2.2053642706472267,-1.7888321376859646,2939.097276658802,False,False
ETHUSDT/BTCUSDT,2024-08-04,2024-08-11,-0.040268313536410916,-0.04226831353641092,10000.0,-0.04226831353641092,-1.7193535390961032,-1.2325731218091311,1102.896750983491,False,False
ETHUSDT/SOLUSDT,2022-02-09,2022-02-11,-0.27779055579835177,-0.27979055579835177,10000.0,-0.27979055579835177,-1.9564898775960475,-1.6356573957769545,276.7049188648775,True,False
ETHUSDT/SOLUSDT,2022-06-11,2022-06-13,-0.3971223992233328,-0.3991223992233328,10000.0,-0.3991223992233328,-1.8071098060038535,-3.25868198552244,500.78916933337894,True,False
ETHUSDT/SOLUSDT,2022-09-11,2022-09-15,-0.22416383242839466,-0.22616383242839466,10000.0,-0.22616383242839466,-2.5955407754069904,-1.6604736083686435,62.55412822231847,True,False
ETHUSDT/SOLUSDT,2022-10-29,2022-11-05,0.1138017862534837,0.11180178625348369,10000.0,0.11180178625348369,-2.324471734750337,-0.9412071345673955,709.381481736016,False,False
ETHUSDT/SOLUSDT,2022-12-11,2022-12-15,-0.04695445473032356,-0.04895445473032356,10000.0,-0.04895445473032356,2.1632059973968425,-0.00317698264177157,557.4600172494763,False,True
ETHUSDT/SOLUSDT,2022-12-16,2022-12-23,0.00566120355083366,0.00366120355083366,10000.0,0.00366120355083366,-1.37822001887699,-0.1463392897989396,210.98490360485653,False,True
ETHUSDT/SOLUSDT,2022-12-17,2022-12-23,-0.0343152060951446,-0.0363152060951446,10000.0,-0.0363152060951446,-1.6850760205745319,-0.1463392897989396,359.88466854712703,False,True
ETHUSDT/SOLUSDT,2023-10-19,2023-10-26,0.3904078565825223,0.3884078565825223,10000.0,0.3884078565825223,-1.9185131880343747,-1.947718176981926,265.41471042367425,False,False
ETHUSDT/SOLUSDT,2023-10-21,2023-10-26,-0.21236726378399096,-0.21436726378399096,10000.0,-0.21436726378399096,1.858809660945937,-1.947718176981926,252.4231944536216,True,False
ETHUSDT/SOLUSDT,2023-10-22,2023-10-29,-0.1941432209887971,-0.1961432209887971,10000.0,-0.1961432209887971,1.606344390169861,-1.8850278430240526,329.7356692575927,False,False
ETHUSDT/SOLUSDT,2023-10-25,2023-11-01,0.24514812083794213,0.24314812083794213,10000.0,0.24314812083794213,-1.8030847678353106,-1.1518866446546534,154.59692633700627,False,False
ETHUSDT/SOLUSDT,2024-04-02,2024-04-09,0.0165243090578282,0.014524309057828201,10000.0,0.014524309057828201,-1.4690486830690221,-0.7644476160563765,753.2496861281097,False,False
ETHUSDT/SOLUSDT,2024-05-01,2024-05-08,-0.0536201066352725,-0.055620106635272504,10000.0,-0.055620106635272504,1.2140669910664943,1.5295038116574764,336.9747999337851,False,False
ETHUSDT/SOLUSDT,2024-05-20,2024-05-27,-0.03378979201421761,-0.035789792014217614,10000.0,-0.035789792014217614,-1.2510302596674947,-1.6823882950310016,1846.9038523881188,False,False
ETHUSDT/SOLUSDT,2024-06-04,2024-06-11,0.2326132912309694,0.2306132912309694,10000.0,0.2306132912309694,1.2577999326235216,0.10035199569514376,1895.3277590109774,False,True
ETHUSDT/SOLUSDT,2024-08-05,2024-08-12,0.23796599457601786,0.23596599457601786,10000.0,0.23596599457601786,-1.466761085376217,-0.9050921794648232,983.4170426614824,False,False
ETHUSDT/SOLUSDT,2024-11-08,2024-11-15,0.12845082036369615,0.12645082036369615,10000.0,0.12645082036369615,-1.3040023575376387,-1.2536766550306777,898.7819261731865,False,False
ETHUSDT/SOLUSDT,2025-04-16,2025-04-22,-0.23091926538908403,-0.23291926538908403,10000.0,-0.23291926538908403,1.2588453047509311,1.5619238062546623,858.7230090129505,True,False
ETHUSDT/SOLUSDT,2025-07-10,2025-07-17,0.2436446259579761,0.2416446259579761,10000.0,0.2416446259579761,-1.4362273195535855,-2.3464881640127087,2865.885869622868,False,False
ETHUSDT/AVAXUSDT,2022-03-15,2022-03-18,-0.3080905129847594,-0.3100905129847594,10000.0,-0.3100905129847594,1.4737677586493543,-0.13605495129087591,156.0000466554693,True,False
ETHUSDT/AVAXUSDT,2022-04-29,2022-05-06,0.15639652175559282,0.15439652175559282,10000.0,0.15439652175559282,1.4735057599845514,1.055390738787489,434.84334117587287,False,False
ETHUSDT/AVAXUSDT,2022-08-04,2022-08-07,-0.2200824063367186,-0.2220824063367186,10000.0,-0.2220824063367186,1.2820302265058725,2.8472443203753803,567.1582730378415,True,False
ETHUSDT/AVAXUSDT,2022-09-14,2022-09-18,-0.33038494450134404,-0.33238494450134404,10000.0,-0.33238494450134404,-1.3913732511136645,-1.8402787206259281,752.8944196372679,True,False
ETHUSDT/AVAXUSDT,2022-11-30,2022-12-07,-0.03909609282114013,-0.04109609282114013,10000.0,-0.04109609282114013,-1.8195826836064626,-0.8696276046514867,226.5235954353018,False,False
ETHUSDT/AVAXUSDT,2022-12-01,2022-12-08,0.04170173352373774,0.03970173352373774,10000.0,0.03970173352373774,-2.929407626525059,-0.73272374050318,79.24111742974856,False,False
ETHUSDT/AVAXUSDT,2023-01-09,2023-01-12,0.2823303933890937,0.2803303933890937,10000.0,0.2803303933890937,-1.6240038752985049,-0.16847477197704833,185.55488590204538,False,True
ETHUSDT/AVAXUSDT,2023-01-28,2023-02-04,-0.08373499832995679,-0.08573499832995679,10000.0,-0.08573499832995679,2.0945708386276114,1.670977826447014,613.0751938016307,False,False
ETHUSDT/AVAXUSDT,2023-05-26,2023-06-02,-0.05420351150892466,-0.056203511508924664,10000.0,-0.056203511508924664,2.0078569472140297,1.7509054658318286,650.2155965994605,False,False
ETHUSDT/AVAXUSDT,2023-07-09,2023-07-16,-0.08152426131726731,-0.08352426131726731,10000.0,-0.08352426131726731,1.2198798121765906,1.260305105652865,340.20677274512263,False,False
ETHUSDT/AVAXUSDT,2023-12-04,2023-12-11,0.395650406471483,0.39365040647148297,10000.0,0.39365040647148297,-1.7200888552053917,-0.27906772360711873,406.17188748980107,False,True
ETHUSDT/AVAXUSDT,2024-01-10,2024-01-17,0.08946522818727465,0.08746522818727465,10000.0,0.08746522818727465,2.0750714687701213,1.177381655162229,144.4678901500606,False,False
ETHUSDT/AVAXUSDT,2024-05-11,2024-05-18,0.17297065937100042,0.17097065937100042,10000.0,0.17097065937100042,-1.7372610346177813,-1.4924709597611996,237.77380467273474,False,False
ETHUSDT/AVAXUSDT,2024-07-04,2024-07-11,0.04357412442804698,0.04157412442804698,10000.0,0.04157412442804698,-2.1743354990364976,-1.196459902114811,603.6360247338093,False,False
ETHUSDT/AVAXUSDT,2024-08-22,2024-08-29,0.13811384339771227,0.13611384339771226,10000.0,0.13611384339771226,2.218525072755323,1.384871539678383,604.3956966582862,False,False
ETHUSDT/AVAXUSDT,2024-12-15,2024-12-21,0.5131384360214322,0.5111384360214322,10000.0,0.5111384360214322,1.4523914391309507,0.05580296848672462,362.64537320921954,False,True
ETHUSDT/AVAXUSDT,2025-01-24,2025-01-31,0.02947781609811362,0.027477816098113617,10000.0,0.027477816098113617,1.3714373988105417,1.724484308442451,514.1319130112142,False,False
ETHUSDT/AVAXUSDT,2025-02-27,2025-03-06,-0.11861663789937649,-0.12061663789937649,10000.0,-0.12061663789937649,-1.8256284125855216,-1.638486152666607,963.4384225444644,False,False
ETHUSDT/MATICUSDT,2022-03-22,2022-03-29,0.24598718333012692,0.24398718333012692,10000.0,0.24398718333012692,-1.5634728215106768,-1.1947602853861432,1056.5349085840312,False,False
ETHUSDT/MATICUSDT,2022-06-26,2022-07-03,0.31282647193794355,0.31082647193794355,10000.0,0.31082647193794355,1.4069091198362713,1.7129335941328858,790.0263691465648,False,False
ETHUSDT/MATICUSDT,2022-06-27,2022-07-04,0.11654947735682031,0.1145494773568203,10000.0,0.1145494773568203,2.264340887322975,1.5593479693755583,636.0158212430458,False,False
ETHUSDT/MATICUSDT,2023-01-07,2023-01-14,0.41828392042771423,0.4162839204277142,10000.0,0.4162839204277142,-1.5344615379828934,-1.5853981540619908,449.0061855277354,False,False
ETHUSDT/MATICUSDT,2023-01-08,2023-01-15,0.3482025526997501,0.3462025526997501,10000.0,0.3462025526997501,-1.8029660069354836,-1.436110015537817,410.9936742149861,False,False
ETHUSDT/MATICUSDT,2023-01-27,2023-02-03,-0.11123280631142674,-0.11323280631142674,10000.0,-0.11323280631142674,1.5996460038839528,1.7527498730815236,1082.3536718499904,False,False
ETHUSDT/MATICUSDT,2023-03-10,2023-03-17,0.38932983102813923,0.3873298310281392,10000.0,0.3873298310281392,-1.6741070374282943,-2.3863699869528947,318.85099037177724,False,False
ETHUSDT/MATICUSDT,2023-06-06,2023-06-13,0.35183421941596904,0.34983421941596904,10000.0,0.34983421941596904,1.6392542420185672,0.7961947320435703,316.21903009332914,False,False
ETHUSDT/MATICUSDT,2023-06-07,2023-06-14,0.33431745769082055,0.33231745769082055,10000.0,0.33231745769082055,2.2609774422388473,0.2970648518563792,210.03945930418467,False,True
ETHUSDT/MATICUSDT,2023-12-07,2023-12-14,0.030120453995642893,0.02812045399564289,10000.0,0.02812045399564289,-1.8139545862560178,-0.9566746812024576,839.8936045762721,False,False
ETHUSDT/MATICUSDT,2024-01-22,2024-01-29,0.08239404570825126,0.08039404570825126,10000.0,0.08039404570825126,-1.4900426841795837,-1.5650774986471023,1052.834354743324,False,False
ETHUSDT/MATICUSDT,2024-07-02,2024-07-04,-0.26188434602803756,-0.26388434602803756,10000.0,-0.26388434602803756,-1.344882338891032,-3.4746617819568284,876.5448232746292,True,False
