Pair,Z_Entry,Hold_Period,AsymDD,Sharpe,MaxDD,CAGR,Trades
ETHUSDT/BTCUSDT,1.0,2,True,0.04237599882193101,-0.4199620252247347,-0.0550786598572347,24
ETHUSDT/BTCUSDT,1.0,2,False,0.14620752218451266,-0.3804020672195185,-0.029202816055801883,24
ETHUSDT/BTCUSDT,1.0,3,True,0.39610299028691337,-0.3984875171282203,0.01884748075030651,24
ETHUSDT/BTCUSDT,1.0,3,False,0.33980567173874426,-0.4086284528800338,0.0015799417451440867,24
ETHUSDT/BTCUSDT,1.0,5,True,0.6997839186449334,-0.21795300367911696,0.11737351108877792,24
ETHUSDT/BTCUSDT,1.0,5,False,1.189881044069873,-0.14813798976838388,0.23735634722547494,24
ETHUSDT/BTCUSDT,1.25,2,True,-0.4369958021560828,-0.33411509212269674,-0.1408332348035608,16
ETHUSDT/BTCUSDT,1.25,2,False,-0.3434448294365613,-0.2887001707942445,-0.11425613259628542,16
ETHUSDT/BTCUSDT,1.25,3,True,-0.309032198700443,-0.3605088582571948,-0.14931624800198984,16
ETHUSDT/BTCUSDT,1.25,3,False,-0.3649164799275371,-0.38665476387945596,-0.16511676732086122,16
ETHUSDT/BTCUSDT,1.25,5,True,0.45599735416730547,-0.19216210784220256,0.02661950937260449,16
ETHUSDT/BTCUSDT,1.25,5,False,1.138902921041367,-0.10195077658873253,0.15077622135254676,16
ETHUSDT/BTCUSDT,1.5,2,True,-0.5666496873724269,-0.23418444149384388,-0.12421585329120499,10
ETHUSDT/BTCUSDT,1.5,2,False,-0.47462321758343556,-0.1838029870291764,-0.09298765168287959,10
ETHUSDT/BTCUSDT,1.5,3,True,-0.5669464463426088,-0.2702192864642048,-0.13510737040198462,10
ETHUSDT/BTCUSDT,1.5,3,False,-0.5749200600215915,-0.27624212793873104,-0.13864332963000348,10
ETHUSDT/BTCUSDT,1.5,5,True,0.34356457269800134,-0.19216210784220256,0.0007641842834227308,10
ETHUSDT/BTCUSDT,1.5,5,False,1.1910837814228201,-0.06361296024625618,0.11976030020008821,10
ETHUSDT/AVAXUSDT,1.0,2,True,0.17219469575764199,-0.3084040402173547,0.013142770218820488,25
ETHUSDT/AVAXUSDT,1.0,2,False,0.021609869623949708,-0.3589668063287864,-0.04138361521019118,25
ETHUSDT/AVAXUSDT,1.0,3,True,0.30043910988441225,-0.2947047745062844,0.13683112212504023,25
ETHUSDT/AVAXUSDT,1.0,3,False,0.0679087777662114,-0.45210211803595657,0.02241781400451681,25
ETHUSDT/AVAXUSDT,1.0,5,True,0.5587981591619237,-0.35138348246407136,0.283646097100984,25
ETHUSDT/AVAXUSDT,1.0,5,False,0.18981010543801144,-0.6236779789983637,0.03203741736458232,25
ETHUSDT/AVAXUSDT,1.25,2,True,0.15674586880873823,-0.27660477913097814,0.05230825750932033,17
ETHUSDT/AVAXUSDT,1.25,2,False,-0.01281573262969408,-0.3294923977492581,0.02568158403504084,17
ETHUSDT/AVAXUSDT,1.25,3,True,0.528815672737231,-0.2947047745062845,0.18165847131028534,17
ETHUSDT/AVAXUSDT,1.25,3,False,0.22637183028678962,-0.34782403131535466,0.15113305646214936,17
ETHUSDT/AVAXUSDT,1.25,5,True,0.7023219838931739,-0.3513834824640715,0.310275119334378,17
ETHUSDT/AVAXUSDT,1.25,5,False,0.2806735182792609,-0.5343366216515244,0.15245250016505274,17
ETHUSDT/AVAXUSDT,1.5,2,True,0.6771823244002088,-0.1893164538384643,0.13887064346487543,11
ETHUSDT/AVAXUSDT,1.5,2,False,0.6771823244002088,-0.1893164538384643,0.13887064346487543,11
ETHUSDT/AVAXUSDT,1.5,3,True,0.918764564311668,-0.17131318446472832,0.2517499736579736,11
ETHUSDT/AVAXUSDT,1.5,3,False,0.918764564311668,-0.17131318446472832,0.2517499736579736,11
ETHUSDT/AVAXUSDT,1.5,5,True,1.0890388090420695,-0.14571384218011474,0.41056073624435685,11
ETHUSDT/AVAXUSDT,1.5,5,False,1.0056328171744169,-0.1870236250498325,0.379182047333563,11
ETHUSDT/OPUSDT,1.0,2,True,0.20349167926157158,-0.42995167904547305,0.07799004131904486,24
ETHUSDT/OPUSDT,1.0,2,False,0.2072681881885159,-0.4279173952016414,0.07986178592435866,24
ETHUSDT/OPUSDT,1.0,3,True,0.3774951752315703,-0.49413563752728773,0.15638290533192079,24
ETHUSDT/OPUSDT,1.0,3,False,0.7646324648974732,-0.4300534603343239,0.2257796756485655,24
ETHUSDT/OPUSDT,1.0,5,True,0.702773360128108,-0.3379484723797974,0.433275841894192,24
ETHUSDT/OPUSDT,1.0,5,False,1.3339279607604853,-0.289093685144834,0.7630360500812625,24
ETHUSDT/OPUSDT,1.25,2,True,0.29379390519723264,-0.2469085562344172,0.13174683145565935,13
ETHUSDT/OPUSDT,1.25,2,False,0.29909253664883,-0.24422106168235003,0.13371191549647898,13
ETHUSDT/OPUSDT,1.25,3,True,0.44774543715972503,-0.2655657352916243,0.21141631796697635,13
ETHUSDT/OPUSDT,1.25,3,False,0.9644846612286577,-0.2526071640968163,0.2841953556722301,13
ETHUSDT/OPUSDT,1.25,5,True,0.29280925244279316,-0.3213932818323674,0.1250980313101313,13
ETHUSDT/OPUSDT,1.25,5,False,1.1897839136312411,-0.30962024738926097,0.38261485597419886,13
ETHUSDT/OPUSDT,1.5,2,True,-0.08720542979615217,-0.35393125778067447,-0.12897182574529253,7
ETHUSDT/OPUSDT,1.5,2,False,-0.0815387316203154,-0.3516256862071967,-0.12745741391699106,7
ETHUSDT/OPUSDT,1.5,3,True,0.08423569423073062,-0.39266796295146755,-0.15272399350848098,7
ETHUSDT/OPUSDT,1.5,3,False,0.2485964391284656,-0.3157320052119912,-0.10198166025257804,7
ETHUSDT/OPUSDT,1.5,5,True,0.2139122778578302,-0.3274370503866655,-0.08476014086756323,7
ETHUSDT/OPUSDT,1.5,5,False,0.5945012345220725,-0.2462662657220045,0.03309800635385307,7
ETHUSDT/MATICUSDT,1.0,2,True,1.214324760871064,-0.15685476408776156,0.25515788076033763,18
ETHUSDT/MATICUSDT,1.0,2,False,0.7418670625486594,-0.29881026692609125,0.16198802819372538,18
ETHUSDT/MATICUSDT,1.0,3,True,1.3259899768727428,-0.19380826633203996,0.5861530571068452,18
ETHUSDT/MATICUSDT,1.0,3,False,1.043956686184983,-0.31072850968250854,0.467891444782099,18
ETHUSDT/MATICUSDT,1.0,5,True,1.1329835051055275,-0.19380826633203996,0.7512752329100489,18
ETHUSDT/MATICUSDT,1.0,5,False,0.9590354515668692,-0.26388434602803756,0.6296279784819037,18
ETHUSDT/MATICUSDT,1.25,2,True,1.272059953161858,-0.15685476408776156,0.2938673502127285,13
ETHUSDT/MATICUSDT,1.25,2,False,0.7421454021593884,-0.29881026692609125,0.19767695291298604,13
ETHUSDT/MATICUSDT,1.25,3,True,1.558433128151158,-0.1711858489946475,0.7357712563341765,13
ETHUSDT/MATICUSDT,1.25,3,False,1.1956946989355444,-0.31072850968250865,0.6060462420316002,13
ETHUSDT/MATICUSDT,1.25,5,True,1.6632132095506842,-0.11485810836670907,0.9477418359994931,13
ETHUSDT/MATICUSDT,1.25,5,False,1.329315776128608,-0.26388434602803756,0.8031532402199011,13
ETHUSDT/MATICUSDT,1.5,2,True,2.0855669743881546,-0.04778016505834248,0.4340462659974067,10
ETHUSDT/MATICUSDT,1.5,2,False,2.0855669743881546,-0.04778016505834248,0.4340462659974067,10
ETHUSDT/MATICUSDT,1.5,3,True,2.1359048561071874,0.0,1.0610886978014706,10
ETHUSDT/MATICUSDT,1.5,3,False,2.1359048561071874,0.0,1.0610886978014706,10
ETHUSDT/MATICUSDT,1.5,5,True,1.902482677126673,-0.05881534972640978,1.1549157684292224,10
ETHUSDT/MATICUSDT,1.5,5,False,1.8562035296380408,-0.05881534972640978,1.1573938989970274,10
ETHUSDT/LDOUSDT,1.0,2,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,2,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,3,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,3,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,5,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.0,5,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,2,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,2,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,3,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,3,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,5,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.25,5,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,2,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,2,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,3,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,3,False,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,5,True,0.0,0.0,0.0,0
ETHUSDT/LDOUSDT,1.5,5,False,0.0,0.0,0.0,0
