strategy,Total Trades,Win Rate,Avg Win,Avg Loss,Expectancy,Profit Factor,Payoff Ratio
btcusdt_1h_lb20_r0.3_tp10_sl10_vf0_ema0_vol0_z1.0,132,0.7651515151515151,0.05458770606968925,-0.02282433345560198,0.03640760587814358,7.792134149656167,2.391645135042982
btcusdt_1h_lb20_r0.5_tp10_sl5_vf0_ema1_vol1_z1.0,132,0.7651515151515151,0.05458770606968925,-0.02282433345560198,0.03640760587814358,7.792134149656167,2.391645135042982
btcusdt_1h_lb20_r0.5_tp15_sl10_vf0_ema1_vol0_z1.0,132,0.7651515151515151,0.05458770606968925,-0.02282433345560198,0.03640760587814358,7.792134149656167,2.391645135042982
ETHUSDT_AVAXUSDT_z1.0_h2_ddmod0,25,0.52,0.08690036116482319,-0.09230095793696219,0.0008837279959662131,1.0199467051344544,0.9414892662779579
ETHUSDT_AVAXUSDT_z1.0_h2_ddmod1,25,0.52,0.08690036116482319,-0.08054632662840257,0.0065259510240748275,1.1687939334946864,1.0788867078412492
ETHUSDT_AVAXUSDT_z1.0_h3_ddmod0,25,0.52,0.1107056738940698,-0.11268376024757171,0.003478745506081876,1.0643161574931566,0.9824456838398368
ETHUSDT_AVAXUSDT_z1.0_h3_ddmod1,25,0.52,0.1107056738940698,-0.09149747849076244,0.013648160749350324,1.310759036170421,1.2099314180034657
ETHUSDT_AVAXUSDT_z1.0_h5_ddmod0,25,0.56,0.15567102234650143,-0.16757978635845594,0.013440666516320199,1.1822831381938432,0.9289367514380197
ETHUSDT_AVAXUSDT_z1.0_h5_ddmod1,25,0.56,0.15567102234650143,-0.12013424777177048,0.0343167034944618,1.6492112731261097,1.295808857456229
ETHUSDT_AVAXUSDT_z1.25_h2_ddmod0,17,0.5882352941176471,0.08501831236978262,-0.12311964513391796,-0.000685552484682321,0.9864772744002412,0.6905340920801689
ETHUSDT_AVAXUSDT_z1.25_h2_ddmod1,17,0.5882352941176471,0.08501831236978262,-0.10296884860495861,0.007611834321359763,1.1795288924983034,0.8256702247488125
ETHUSDT_AVAXUSDT_z1.25_h3_ddmod0,17,0.5882352941176471,0.11894133174466051,-0.13289082873375638,0.015245736253547679,1.2786148587204682,0.8950304011043279
ETHUSDT_AVAXUSDT_z1.25_h3_ddmod1,17,0.5882352941176471,0.11894133174466051,-0.09657148857922619,0.030200758670118934,1.759486062672219,1.2316402438705534
ETHUSDT_AVAXUSDT_z1.25_h5_ddmod0,17,0.5882352941176471,0.16951625356105085,-0.17788644935777345,0.02646808177094674,1.36135201635697,0.952946411449879
ETHUSDT_AVAXUSDT_z1.25_h5_ddmod1,17,0.5882352941176471,0.16951625356105085,-0.10819984489789346,0.055162565960309086,2.2381370023618365,1.5666959016532858
ETHUSDT_AVAXUSDT_z1.5_h2_ddmod0,11,0.6363636363636364,0.09889039678314455,-0.07568013119033268,0.035410204792789196,2.2867057925054084,1.306689024288805
ETHUSDT_AVAXUSDT_z1.5_h2_ddmod1,11,0.6363636363636364,0.09889039678314455,-0.07568013119033268,0.035410204792789196,2.2867057925054084,1.306689024288805
ETHUSDT_AVAXUSDT_z1.5_h3_ddmod0,11,0.6363636363636364,0.11661802808950636,-0.06448475114530089,0.0507624720041219,3.1648032369201116,1.8084589925257781
ETHUSDT_AVAXUSDT_z1.5_h3_ddmod1,11,0.6363636363636364,0.11661802808950636,-0.06448475114530089,0.0507624720041219,3.1648032369201116,1.8084589925257781
ETHUSDT_AVAXUSDT_z1.5_h5_ddmod0,11,0.7272727272727273,0.1457522955796633,-0.09242514340049433,0.08079481222143849,4.205271140648906,1.5769766777433396
ETHUSDT_AVAXUSDT_z1.5_h5_ddmod1,11,0.7272727272727273,0.1457522955796633,-0.0786552157772551,0.08455024702777647,4.941475074114905,1.8530531527930894
ETHUSDT_BTCUSDT_z1.0_h2_ddmod0,24,0.5,0.06032136536077418,-0.05355899129719859,0.0033811870317877954,1.1262602954198897,1.1262602954198897
ETHUSDT_BTCUSDT_z1.0_h2_ddmod1,24,0.5,0.06032136536077418,-0.05822717283313033,0.001047096263821927,1.0359658974624353,1.035965897462435
ETHUSDT_BTCUSDT_z1.0_h3_ddmod0,24,0.5,0.08518848642091015,-0.06349570882541285,0.01084638879774865,1.3416416321163298,1.34164163211633
ETHUSDT_BTCUSDT_z1.0_h3_ddmod1,24,0.5,0.08518848642091015,-0.06051504172562471,0.012336722347642718,1.4077241623190955,1.4077241623190953
ETHUSDT_BTCUSDT_z1.0_h5_ddmod0,24,0.5833333333333334,0.07986471241408245,-0.039874056915155436,0.029973558526900004,2.804093840203608,2.002924171574006
ETHUSDT_BTCUSDT_z1.0_h5_ddmod1,24,0.5416666666666666,0.08535590612435252,-0.056077706967954735,0.02053216679037836,1.798846051978734,1.522100505520467
ETHUSDT_BTCUSDT_z1.25_h2_ddmod0,16,0.4375,0.052410738400279565,-0.055856526942163115,-0.008489598354844443,0.7297966750935132,0.938310010834517
ETHUSDT_BTCUSDT_z1.25_h2_ddmod1,16,0.4375,0.052410738400279565,-0.0620807689900721,-0.011990734506793246,0.6566269765630772,0.8442346841525278
ETHUSDT_BTCUSDT_z1.25_h3_ddmod0,16,0.4375,0.06490723758047466,-0.07142903396443355,-0.01178191516353621,0.7067631214524461,0.9086954418674307
ETHUSDT_BTCUSDT_z1.25_h3_ddmod1,16,0.4375,0.06490723758047466,-0.06745481116471602,-0.009546414838695096,0.7484033553034759,0.9622328853901835
ETHUSDT_BTCUSDT_z1.25_h5_ddmod0,16,0.625,0.0684250815775484,-0.03573700279278102,0.029364299938674867,3.191140658619646,1.9146843951717873
ETHUSDT_BTCUSDT_z1.25_h5_ddmod1,16,0.5625,0.07508573573276806,-0.06179088917894767,0.015202212333892427,1.5623468826514078,1.2151586865066506
ETHUSDT_BTCUSDT_z1.5_h2_ddmod0,10,0.4,0.038166744041753096,-0.044104059536078745,-0.011195738104946005,0.5769195918806717,0.8653793878210075
ETHUSDT_BTCUSDT_z1.5_h2_ddmod1,10,0.4,0.038166744041753096,-0.05310776442400652,-0.01659796103770267,0.47911065931319113,0.7186659889697866
ETHUSDT_BTCUSDT_z1.5_h3_ddmod0,10,0.4,0.05329785670284777,-0.06805825167609177,-0.01951580832451595,0.5220807704210716,0.7831211556316074
ETHUSDT_BTCUSDT_z1.5_h3_ddmod1,10,0.4,0.05329785670284777,-0.06692875804404487,-0.018838112145287814,0.5308914360129339,0.7963371540194009
ETHUSDT_BTCUSDT_z1.5_h5_ddmod0,10,0.6,0.06859406819269954,-0.02228806910307875,0.032241213274388225,4.616420642505838,3.0776137616705586
ETHUSDT_BTCUSDT_z1.5_h5_ddmod1,10,0.5,0.08061704299512518,-0.053599135786708565,0.013508953604208306,1.5040735603635698,1.5040735603635698
ETHUSDT_MATICUSDT_z1.0_h2_ddmod0,18,0.6666666666666666,0.08180492206516467,-0.08041885771161188,0.027730328806239143,2.034471127618433,1.0172355638092165
ETHUSDT_MATICUSDT_z1.0_h2_ddmod1,18,0.6666666666666666,0.08180492206516467,-0.05558115143472381,0.036009564231868504,2.943620992135755,1.4718104960678775
ETHUSDT_MATICUSDT_z1.0_h3_ddmod0,18,0.6666666666666666,0.14365596465030944,-0.11315166588867821,0.05805342113731355,2.539175424808013,1.2695877124040067
ETHUSDT_MATICUSDT_z1.0_h3_ddmod1,18,0.6666666666666666,0.14365596465030944,-0.08831395961179016,0.0663326565629429,3.2533014096931283,1.626650704846564
ETHUSDT_MATICUSDT_z1.0_h5_ddmod0,18,0.6111111111111112,0.19844255230972277,-0.13598545798983327,0.06838721497100655,2.2931738517953977,1.4592924511425258
ETHUSDT_MATICUSDT_z1.0_h5_ddmod1,18,0.6111111111111112,0.19844255230972277,-0.1166797126620248,0.07589500482070985,2.6726008264176997,1.700745980447627
ETHUSDT_MATICUSDT_z1.25_h2_ddmod0,13,0.6923076923076923,0.09839567268865788,-0.0997566603872504,0.03742572404991687,2.2193030790130126,0.9863569240057835
ETHUSDT_MATICUSDT_z1.25_h2_ddmod1,13,0.6923076923076923,0.09839567268865788,-0.0625001009719183,0.04888928079309597,3.5422384941258307,1.5743282196114803
ETHUSDT_MATICUSDT_z1.25_h3_ddmod0,13,0.7692307692307693,0.16494254473385092,-0.17377652467577334,0.08677660563932227,3.1638823683002335,0.9491647104900701
ETHUSDT_MATICUSDT_z1.25_h3_ddmod1,13,0.7692307692307693,0.16494254473385092,-0.12410111212199722,0.09824016238250137,4.430326795989404,1.3290980387968212
ETHUSDT_MATICUSDT_z1.25_h5_ddmod0,13,0.6923076923076923,0.22380257590704242,-0.13664551226180002,0.11289547185509091,3.6851250176886863,1.6378333411949717
ETHUSDT_MATICUSDT_z1.25_h5_ddmod1,13,0.6923076923076923,0.22380257590704242,-0.0962006573136365,0.12534004260837198,5.234431965980612,2.326414207102494
ETHUSDT_MATICUSDT_z1.5_h2_ddmod0,10,0.8,0.09351487758261301,-0.0438480271410529,0.06604229663787983,8.530817341613922,2.1327043354034805
ETHUSDT_MATICUSDT_z1.5_h2_ddmod1,10,0.8,0.09351487758261301,-0.0438480271410529,0.06604229663787983,8.530817341613922,2.1327043354034805
ETHUSDT_MATICUSDT_z1.5_h3_ddmod0,10,0.9,0.16067941749137674,-0.19380826633204,0.12523064910903506,7.461574187681188,0.829063798631243
ETHUSDT_MATICUSDT_z1.5_h3_ddmod1,10,0.9,0.16067941749137674,-0.19380826633204,0.12523064910903506,7.461574187681188,0.829063798631243
ETHUSDT_MATICUSDT_z1.5_h5_ddmod0,10,0.7,0.2373550837915149,-0.0942325676730542,0.13787878835214415,5.877251809251457,2.51882220396491
ETHUSDT_MATICUSDT_z1.5_h5_ddmod1,10,0.7,0.2373550837915149,-0.0899815069626123,0.13915410656527671,6.1549150213386215,2.6378207234308375
ETHUSDT_OPUSDT_z1.0_h2_ddmod0,24,0.5416666666666666,0.10180747726603008,-0.10367166523243294,0.007629536954234517,1.160567136722281,0.9820183464573147
ETHUSDT_OPUSDT_z1.0_h2_ddmod1,24,0.5416666666666666,0.10180747726603008,-0.10395726481603376,0.007498637145084142,1.1573787353000693,0.9793204683308279
ETHUSDT_OPUSDT_z1.0_h3_ddmod0,24,0.5,0.15660626928897695,-0.08680267139660602,0.03490179894618546,1.8041641664855517,1.8041641664855517
ETHUSDT_OPUSDT_z1.0_h3_ddmod1,24,0.4583333333333333,0.1564360677274926,-0.09936560748768154,0.017876826985939932,1.3321408053708257,1.5743482245291576
ETHUSDT_OPUSDT_z1.0_h5_ddmod0,24,0.625,0.1958296994319851,-0.1060406542734958,0.08262831679242977,3.0779028536060173,1.8467417121636105
ETHUSDT_OPUSDT_z1.0_h5_ddmod1,24,0.5416666666666666,0.18528870162332273,-0.12362381232722272,0.04370379939598939,1.7713218217563953,1.4988107722554114
ETHUSDT_OPUSDT_z1.25_h2_ddmod0,13,0.5384615384615384,0.11309906249094538,-0.09855165670071193,0.015414115171718923,1.3388806505825395,1.1476119862136052
ETHUSDT_OPUSDT_z1.25_h2_ddmod1,13,0.5384615384615384,0.11309906249094538,-0.09907525593731344,0.01517245398559515,1.3318048486589078,1.1415470131362067
ETHUSDT_OPUSDT_z1.25_h3_ddmod0,13,0.46153846153846156,0.21411854837707303,-0.06566380516339017,0.06346651185528515,2.7949976987555063,3.2608306485480907
ETHUSDT_OPUSDT_z1.25_h3_ddmod1,13,0.38461538461538464,0.22524656075942673,-0.08872093459053984,0.03203579439021654,1.5867630466739102,2.5388208746782563
ETHUSDT_OPUSDT_z1.25_h5_ddmod0,13,0.6153846153846154,0.21400772775993648,-0.09468221258402702,0.09528082762764283,3.6164381362763343,2.260273835172709
ETHUSDT_OPUSDT_z1.25_h5_ddmod1,13,0.46153846153846156,0.19722824195048497,-0.12555815857973182,0.023420180126522097,1.3464101475122356,1.5708118387642749
ETHUSDT_OPUSDT_z1.5_h2_ddmod0,7,0.42857142857142855,0.12703863838508175,-0.1060840896956607,-0.006174349089628217,0.8981457922875369,1.1975277230500492
ETHUSDT_OPUSDT_z1.5_h2_ddmod1,7,0.42857142857142855,0.12703863838508175,-0.10686948855056294,-0.006623148435286642,0.8915451929362622,1.1887269239150164
ETHUSDT_OPUSDT_z1.5_h3_ddmod0,7,0.2857142857142857,0.2634289714647683,-0.07228409498493846,0.02363392400069203,1.4577423789820314,3.644355947455079
ETHUSDT_OPUSDT_z1.5_h3_ddmod1,7,0.2857142857142857,0.2634289714647683,-0.09334340889460738,0.008591556922357094,1.1288594431437657,2.8221486078594142
ETHUSDT_OPUSDT_z1.5_h5_ddmod0,7,0.5714285714285714,0.18412844933012407,-0.1087194855607736,0.058622191519739346,2.2581471742670853,1.693610380700314
ETHUSDT_OPUSDT_z1.5_h5_ddmod1,7,0.42857142857142855,0.19187155176000167,-0.10823953725366982,0.02037950089504654,1.3294926001277065,1.7726568001702756
ranked,263,0.5817490494296578,0.015411656852971656,-0.01261660624106127,0.003688809171056743,1.6990475261885098,1.221537437128994
